,Unnamed: 0,Number,Name,Address,Latitude,Longitude,Banking,Bonus,Status,Bike_stands,Available_bike_stands,Available_bikes,Last_update,Clock
185,185,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,2,29,1522341385000,16
186,186,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,1,30,1522341694000,16
187,187,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,0,31,1522342044000,16
188,188,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,3,28,1522342355000,16
189,189,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,4,27,1522342631000,16
190,190,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,2,29,1522342907000,17
191,191,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,2,29,1522343249000,17
192,192,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,1,30,1522343554000,17
193,193,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,1,30,1522343812000,17
194,194,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,1,30,1522343881000,17
195,195,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,0,31,1522344562000,17
196,196,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,1,30,1522344853000,17
197,197,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,1,30,1522345330000,17
198,198,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,1,30,1522345660000,17
199,199,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,0,31,1522346008000,17
200,200,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,1,30,1522346064000,17
201,201,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,0,31,1522346447000,18
202,202,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,0,31,1522346813000,18
203,203,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,1,30,1522347216000,18
204,204,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,1,30,1522347232000,18
205,205,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,1,30,1522347775000,18
206,206,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,1,30,1522347821000,18
207,207,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,1,30,1522348416000,18
208,208,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,0,31,1522348443000,18
209,209,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,0,31,1522349007000,18
210,210,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,0,31,1522349311000,18
211,211,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,1,30,1522349349000,18
212,212,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,0,31,1522349804000,18
213,213,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,1,30,1522350125000,19
214,214,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,0,31,1522350807000,19
215,215,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,0,31,1522351417000,19
216,216,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,0,31,1522352026000,19
217,217,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,1,30,1522352782000,19
218,218,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,0,31,1522352951000,19
219,219,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,1,30,1522353433000,19
220,220,1,'CLARENDON ROW','Clarendon Row',53.34092712,-6.26250076,'False','False','OPEN',31,2,29,1522353697000,20
